INFO,2021-05-06T20:04:43.848822600Z,1.7351669999999988,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.867771800Z,1.7562159999999984,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.888716300Z,1.7772449999999989,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.907666700Z,1.7905819999999988,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.928611700Z,1.8115299999999994,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.947556600Z,1.8324599999999993,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.969497700Z,1.8535959999999996,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:43.988447700Z,1.8739479999999986,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.009391900Z,1.8948599999999995,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.027343300Z,1.9161509999999993,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.049289400Z,1.936577999999999,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.067237700Z,1.9503749999999993,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.089178400Z,1.978133999999999,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.108130900Z,1.9919459999999987,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.129072600Z,2.012687999999999,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.148021100Z,2.0335659999999987,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.168967600Z,2.0543379999999996,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.187917700Z,2.0752739999999985,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.208859Z,2.0966319999999996,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.227806700Z,2.1102359999999987,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.247754600Z,2.1309499999999986,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.268698500Z,2.151878,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.287651100Z,2.1727089999999993,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.308591500Z,2.193529999999999,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.328544100Z,2.2142919999999986,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.348483900Z,2.235054,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.368431200Z,2.2559819999999995,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.387380300Z,2.2699479999999994,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.410318600Z,2.2978509999999996,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.428275300Z,2.311534,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.448217600Z,2.332547,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.468168700Z,2.3537049999999997,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.488119800Z,2.374039,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.509058700Z,2.394886999999999,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.529001700Z,2.416015999999999,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.549946Z,2.4364989999999995,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.566981Z,2.450486999999999,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.587849800Z,2.471361,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.607335600Z,2.4920519999999993,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.629277300Z,2.512955,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.651215200Z,2.5338309999999993,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.667172300Z,2.5545269999999984,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.689115700Z,2.5753879999999985,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.708065300Z,2.5963569999999994,(ShootCommand),Preparing to shoot
INFO,2021-05-06T20:04:44.729008100Z,2.617082999999999,(ShootCommand),Preparing to shoot
